
2024/03/04 (00:17:47) | ===> btop++ v.1.3.2
2024/03/04 (00:17:47) | INFO: Logger set to DEBUG
2024/03/04 (00:17:47) | DEBUG: Using locale en_US.UTF-8
2024/03/04 (00:17:47) | INFO: Running on /dev/pts/0
2024/03/04 (00:17:47) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/04 (00:17:47) | DEBUG: Shared::init() : Initialized.

2024/03/04 (00:17:59) | ===> btop++ v.1.3.2
2024/03/04 (00:17:59) | INFO: Logger set to DEBUG
2024/03/04 (00:17:59) | DEBUG: Using locale en_US.UTF-8
2024/03/04 (00:17:59) | INFO: Running on /dev/pts/0
2024/03/04 (00:17:59) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/04 (00:17:59) | DEBUG: Shared::init() : Initialized.

2024/03/04 (00:19:05) | ===> btop++ v.1.3.2
2024/03/04 (00:19:05) | INFO: Logger set to DEBUG
2024/03/04 (00:19:05) | DEBUG: Using locale en_US.UTF-8
2024/03/04 (00:19:05) | INFO: Running on /dev/pts/0
2024/03/04 (00:19:05) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/04 (00:19:05) | DEBUG: Shared::init() : Initialized.

2024/03/05 (10:47:41) | ===> btop++ v.1.3.2
2024/03/05 (10:47:41) | INFO: Logger set to DEBUG
2024/03/05 (10:47:41) | DEBUG: Using locale en_US.UTF-8
2024/03/05 (10:47:41) | INFO: Running on /dev/pts/1
2024/03/05 (10:47:41) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/05 (10:47:41) | DEBUG: Shared::init() : Initialized.

2024/03/05 (21:03:16) | ===> btop++ v.1.3.2
2024/03/05 (21:03:16) | INFO: Logger set to DEBUG
2024/03/05 (21:03:16) | DEBUG: Using locale en_US.UTF-8
2024/03/05 (21:03:16) | INFO: Running on /dev/pts/1
2024/03/05 (21:03:16) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/05 (21:03:16) | DEBUG: Shared::init() : Initialized.

2024/03/05 (21:13:28) | ===> btop++ v.1.3.2
2024/03/05 (21:13:28) | INFO: Logger set to DEBUG
2024/03/05 (21:13:28) | DEBUG: Using locale en_US.UTF-8
2024/03/05 (21:13:28) | INFO: Running on /dev/pts/1
2024/03/05 (21:13:28) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/05 (21:13:28) | DEBUG: Shared::init() : Initialized.

2024/03/06 (19:40:58) | ===> btop++ v.1.3.2
2024/03/06 (19:40:58) | INFO: Logger set to DEBUG
2024/03/06 (19:40:58) | DEBUG: Using locale en_US.UTF-8
2024/03/06 (19:40:58) | INFO: Running on /dev/pts/3
2024/03/06 (19:40:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/06 (19:40:58) | DEBUG: Shared::init() : Initialized.

2024/03/06 (22:58:32) | ===> btop++ v.1.3.2
2024/03/06 (22:58:32) | INFO: Logger set to DEBUG
2024/03/06 (22:58:32) | DEBUG: Using locale en_US.UTF-8
2024/03/06 (22:58:32) | INFO: Running on /dev/pts/1
2024/03/06 (22:58:32) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/06 (22:58:32) | DEBUG: Shared::init() : Initialized.
